학교종류명,도로명우편번호,도로명주소,위도,경도
서울숭신초등학교,4702,서울특별시 성동구 마장로 161,37.56781934,127.0278897
한양초등학교,4763,서울특별시 성동구 살곶이길 208,37.55762103,127.0502634
세종초등학교,5006,서울특별시 광진구 군자로 114,37.5530111,127.0728646
성동초등학교,5114,서울특별시 광진구 자양로4길 63,37.53328137,127.089281
서울화양초등학교,5011,서울특별시 광진구 군자로 9,37.54422859,127.0715827
서울행현초등학교,4713,서울특별시 성동구 행당로 95,37.55770899,127.029368
서울행당초등학교,4746,서울특별시 성동구 고산자로8길 6,37.55701913,127.0348734
서울중마초등학교,4907,서울특별시 광진구 동일로72길 43,37.56579084,127.0790239
서울중광초등학교,4908,서울특별시 광진구 긴고랑로13길 59,37.56524214,127.082693
서울장안초등학교,5004,서울특별시 광진구 군자로 74,37.54987645,127.0724025
서울자양초등학교,5054,서울특별시 광진구 아차산로44길 26,37.53698824,127.0797396
서울응봉초등학교,4742,서울특별시 성동구 독서당로62길 28,37.55025339,127.0338297
서울용마초등학교,4926,서울특별시 광진구 천호대로113길 10,37.55782735,127.0835274
서울용답초등학교,4805,서울특별시 성동구 용답25길 1,37.56072712,127.0537608
서울용곡초등학교,4940,서울특별시 광진구 용마산로22길 82,37.56710862,127.088453
서울옥정초등학교,4735,서울특별시 성동구 한림말길 43,37.54230974,127.0157855
서울옥수초등학교,4740,서울특별시 성동구 금호로1길 25,37.54552939,127.0218696
서울양진초등학교,4982,서울특별시 광진구 워커힐로 32,37.54457517,127.0983114
서울양남초등학교,5114,서울특별시 광진구 뚝섬로64길 71,37.53112324,127.0892343
서울신자초등학교,5110,서울특별시 광진구 뚝섬로46길 64,37.53024545,127.0755876
서울신양초등학교,5090,서울특별시 광진구 능동로 42,37.53468209,127.0699953
서울송원초등학교,4800,서울특별시 성동구 동일로43길 9,37.55415927,127.0695262
서울성자초등학교,5102,서울특별시 광진구 뚝섬로56길 7,37.53149357,127.0834083
서울성수초등학교,4798,서울특별시 성동구 아차산로17길 21,37.54431313,127.0631674
서울사근초등학교,4761,서울특별시 성동구 사근동11길 16,37.56267971,127.0475738
서울무학초등학교,4710,서울특별시 성동구 무학봉15길 21,37.56327474,127.0296437
서울마장초등학교,4753,서울특별시 성동구 마장로35나길 32,37.56830949,127.042128
서울동호초등학교,4731,서울특별시 성동구 동호로5길 133,37.54647556,127.0101551
서울동자초등학교,5069,서울특별시 광진구 뚝섬로 561,37.53505821,127.0721792
서울동의초등학교,4948,서울특별시 광진구 영화사로 111,37.55342244,127.0990473
서울동명초등학교,4705,서울특별시 성동구 마장로29길 29,37.56812285,127.0351082
서울금호초등학교,4726,서울특별시 성동구 무수막길 69,37.55189794,127.0207529
서울금옥초등학교,4725,서울특별시 성동구 독서당로 251,37.54630162,127.0176507
서울금북초등학교,4721,서울특별시 성동구 행당로1길 13,37.55749549,127.0235565
서울구의초등학교,5022,서울특별시 광진구 광나루로30길 49,37.54300744,127.0803118
서울구남초등학교,5048,서울특별시 광진구 구의강변로 69,37.53709659,127.0922888
서울광진초등학교,4980,서울특별시 광진구 자양로40길 41,37.54761146,127.0913325
서울광장초등학교,4966,서울특별시 광진구 광장로1길 27,37.54854922,127.1017999
서울광남초등학교,4973,서울특별시 광진구 아차산로70길 35,37.54078809,127.1006653
서울경일초등학교,4774,서울특별시 성동구 뚝섬로 332,37.5409419,127.0466051
서울경수초등학교,4785,서울특별시 성동구 뚝섬로13길 22,37.54043667,127.0580668
서울경동초등학교,4781,서울특별시 성동구 성수일로 34,37.5438253,127.050074
경복초등학교,4991,서울특별시 광진구 천호대로130길 58,37.54981386,127.0867934
중앙대학교사범대학부속초등학교,6973,서울특별시 동작구 서달로 135,37.50545264,126.9596777
서울흑석초등학교,6904,서울특별시 동작구 현충로 87,37.50829272,126.9651322
서울행림초등학교,7031,서울특별시 동작구 솔밭로 47,37.48280761,126.9649643
서울청룡초등학교,8833,서울특별시 관악구 관악로5길 61,37.47672527,126.9512846
서울조원초등학교,8701,서울특별시 관악구 조원로 67,37.48412777,126.9095056
서울인헌초등학교,8792,서울특별시 관악구 낙성대로 23,37.47675499,126.9598639
서울은천초등학교,8716,서울특별시 관악구 은천로 69,37.4865852,126.9426791
서울은로초등학교,6973,서울특별시 동작구 서달로 115,37.50314888,126.9599999
서울원신초등학교,8846,서울특별시 관악구 광신길 177,37.46719824,126.9272409
서울원당초등학교,8739,서울특별시 관악구 봉천로 505,37.48128046,126.9562493
서울영화초등학교,6933,서울특별시 동작구 등용로8길 3,37.50890811,126.9329735
서울영본초등학교,6915,서울특별시 동작구 만양로12가길 69,37.51129869,126.9486724
서울신우초등학교,8823,서울특별시 관악구 호암로 498,37.46326397,126.9325353
서울신성초등학교,8839,서울특별시 관악구 신림로 114,37.47200331,126.9367542
서울신상도초등학교,6967,서울특별시 동작구 장승배기로 14,37.50034802,126.9446159
서울신봉초등학교,8747,서울특별시 관악구 양녕로6나길 1,37.48557653,126.9493929
서울신림초등학교,8842,서울특별시 관악구 문성로28길 31,37.47711985,126.9268767
서울신남성초등학교,7030,서울특별시 동작구 사당로 146,37.48815254,126.96487
서울신길초등학교,6941,서울특별시 동작구 알마타길 16,37.51087166,126.9267292
서울상현초등학교,7039,서울특별시 동작구 상도로58길 21,37.49487439,126.9526691
서울상도초등학교,6961,서울특별시 동작구 성대로21길 62,37.50034777,126.9372695
서울삼일초등학교,7000,서울특별시 동작구 사당로23나길 27,37.48825931,126.9751885
서울삼성초등학교,8816,서울특별시 관악구 대학7길 52,37.46852204,126.9404929
서울사당초등학교,8804,서울특별시 관악구 남현4길 51,37.47383628,126.9733501
서울봉현초등학교,8723,서울특별시 관악구 성현로 117,37.49124068,126.9555874
서울봉천초등학교,8736,서울특별시 관악구 행운1라길 17,37.4832696,126.9581884
서울본동초등학교,6907,서울특별시 동작구 노량진로26길 16-40,37.50992508,126.9538508
서울보라매초등학교,7063,서울특별시 동작구 여의대방로16길 30,37.49585189,126.9161445
서울미성초등학교,8770,서울특별시 관악구 문성로 79,37.47833997,126.9123923
서울문창초등학교,7066,서울특별시 동작구 신대방2길 14,37.48898483,126.9148407
서울동작초등학교,6992,서울특별시 동작구 동작대로29길 214,37.4941155,126.9765088
서울대림초등학교,6954,서울특별시 동작구 대방동1길 22,37.50061445,126.9248833
서울당곡초등학교,8711,서울특별시 관악구 보라매로2길 23,37.49016812,126.9303698
서울노량진초등학교,6924,서울특별시 동작구 장승배기로 160,37.51175038,126.9408242
서울남성초등학교,7005,서울특별시 동작구 사당로23길 57-14,37.48459498,126.9754874
서울남사초등학교,7014,서울특별시 동작구 동작대로13길 22,37.48194349,126.9782341
서울남부초등학교,8763,서울특별시 관악구 남부순환로163길 14,37.48511944,126.9221838
서울난향초등학교,8859,서울특별시 관악구 난향길 9,37.46282189,126.9183368
서울난우초등학교,8850,서울특별시 관악구 난우길 40,37.47711829,126.9176525
서울난곡초등학교,8858,서울특별시 관악구 난곡로35길 102,37.4691282,126.9163416
서울구암초등학교,8724,서울특별시 관악구 구암길 1,37.48921747,126.9462717
서울관악초등학교,8785,서울 관악구 청룡4길 49,37.48102565,126.9425545
서울강남초등학교,6912,서울특별시 동작구 강남초등길 15,37.50615814,126.9533591
서울강빛초등학교,5201,서울특별시 강동구 아리수로93다길 1,37.57434332,127.1707749
서울고현초등학교,5274,서울특별시 강동구 상일로11길 110,37.55380394,127.1660501
서울해누리초등학교,5698,서울특별시 송파구 송파대로37길 95,37.49841159,127.1021242
서울강솔초등학교,5214,서울특별시 강동구 고덕로97길 80,37.56186962,127.1802671
서울위례별초등학교,5850,서울특별시 송파구 위례광장로 243,37.47909577,127.1449717
서울한산초등학교,5371,서울특별시 강동구 풍성로 261,37.52869458,127.1410769
서울풍성초등학교,5506,서울특별시 송파구 강동대로2길 13,37.52629486,127.1134884
서울풍납초등학교,5522,서울특별시 송파구 풍성로 43,37.53529217,127.1175315
서울평화초등학교,5831,서울특별시 송파구 송파대로26길 22,37.49156712,127.1228237
서울토성초등학교,5533,서울특별시 송파구 풍성로20길 44,37.53188286,127.1156331
서울천호초등학교,5309,서울특별시 강동구 구천면로 310-11,37.54771897,127.1365923
서울천일초등학교,5330,서울특별시 강동구 구천면로 266,37.54436122,127.1334367
서울천동초등학교,5341,서울특별시 강동구 성안로 200,37.5410159,127.1378287
서울중대초등학교,5677,서울특별시 송파구 송파대로36길 8,37.4998119,127.1136055
서울잠현초등학교,5507,서울특별시 송파구 올림픽로37길 109,37.52258587,127.1047228
서울잠전초등학교,5568,서울특별시 송파구 올림픽로12길 51,37.50733791,127.0838499
서울잠일초등학교,5501,서울특별시 송파구 올림픽로 95,37.51474166,127.0816362
서울잠실초등학교,5507,서울특별시 송파구 올림픽로35길 20,37.52018633,127.1113114
서울잠신초등학교,5502,서울특별시 송파구 잠실로 32,37.51414815,127.0879435
서울잠동초등학교,5504,서울특별시 송파구 올림픽로35길 122,37.51833846,127.099931
서울위례초등학교,5410,서울특별시 강동구 명일로 23,37.52231852,127.1394366
서울오륜초등학교,5649,서울특별시 송파구 양재대로 1196,37.51242411,127.1345092
서울오금초등학교,5654,서울특별시 송파구 위례성대로22길 11,37.50886634,127.1323312
서울영풍초등학교,5744,서울특별시 송파구 오금로57길 15,37.49622,127.1430148
서울아주초등학교,5572,서울특별시 송파구 올림픽로4길 59,37.50582689,127.0757679
서울신천초등학교,5503,서울특별시 송파구 올림픽로 215,37.5140111,127.0950483
서울신암초등학교,5242,서울특별시 강동구 올림픽로93길 33-16,37.55002367,127.1244044
서울신명초등학교,5300,서울특별시 강동구 명일로24길 33,37.54092685,127.1499791
서울신가초등학교,5706,서울특별시 송파구 송이로 75,37.5003628,127.1198778
서울송파초등학교,5666,서울특별시 송파구 백제고분로 400,37.50713737,127.111119
서울송전초등학교,5607,서울특별시 송파구 석촌호수로 159,37.50882909,127.0951265
서울송례초등학교,5853,서울특별시 송파구 위례순환로 439,37.4778913,127.1384402
서울세륜초등학교,5649,서울특별시 송파구 양재대로 1264,37.51855781,127.1341633
서울성일초등학교,5396,서울특별시 강동구 성내로15길 33,37.52970924,127.1284083
서울성내초등학교,5392,서울특별시 강동구 성내로3길 19,37.53135786,127.1225001
서울선사초등학교,5239,서울특별시 강동구 올림픽로 837,37.55584691,127.128196
서울선린초등학교,5367,서울특별시 강동구 진황도로61길 29,37.52976012,127.145594
서울석촌초등학교,5689,서울특별시 송파구 가락로11길 26,37.50263063,127.1052122
서울상일초등학교,5283,서울특별시 강동구 천호대로 1477,37.54757217,127.1726635
서울삼전초등학교,5584,서울특별시 송파구 백제고분로28길 19,37.50169984,127.0932689
서울버들초등학교,5555,서울특별시 송파구 석촌호수로 81,37.51023502,127.0889992
서울방이초등학교,5636,서울특별시 송파구 위례성대로10길 4,37.51343223,127.1204994
서울방산초등학교,5645,서울특별시 송파구 오금로27길 42,37.50955532,127.1210892
서울문현초등학교,5799,서울특별시 송파구 충민로 137,37.48279092,127.1302571
서울문정초등학교,5797,서울특별시 송파구 문정로5길 20,37.48907284,127.1290135
서울문덕초등학교,5809,서울특별시 송파구 송이로34길 60,37.48518009,127.127729
서울묘곡초등학교,5232,서울특별시 강동구 동남로79길 46,37.55871279,127.1530934
서울명일초등학교,5256,서울특별시 강동구 고덕로38길 8,37.5545536,127.1425911
서울명원초등학교,5268,서울특별시 강동구 명일로 364,37.55128785,127.1505002
서울명덕초등학교,5230,서울특별시 강동구 양재대로156길 11,37.55676233,127.1450815
서울마천초등학교,5758,서울특별시 송파구 마천로61다길 24,37.49550545,127.1526295
서울둔촌초등학교,5409,서울특별시 강동구 양재대로88길 27,37.52621993,127.1374541
서울대명초등학교,5271,서울특별시 강동구 상암로 271,37.54766615,127.1532701
서울남천초등학교,5745,서울특별시 송파구 성내천로 207,37.50144683,127.1507642
서울길동초등학교,5344,서울특별시 강동구 양재대로116길 69,37.53859168,127.1449729
서울고일초등학교,5275,서울특별시 강동구 구천면로93길 20,37.55154262,127.1694101
서울고명초등학교,5267,서울특별시 강동구 고덕로46길 53,37.55297253,127.1474362
서울고덕초등학교,5221,서울특별시 강동구 아리수로82길 42,37.56129361,127.1660799
서울거원초등학교,5789,서울특별시 송파구 양산로2길 26,37.48762503,127.1449361
서울거여초등학교,5731,서울특별시 송파구 마천로25길 18,37.50516942,127.1409871
서울개롱초등학교,5742,서울특별시 송파구 문정로 211,37.49736261,127.1398881
서울강일초등학교,5213,서울특별시 강동구 아리수로98길 24,37.56525568,127.1772125
서울강명초등학교,5285,서울특별시 강동구 상일로 74-1,37.55470604,127.1733745
서울강동초등학교,5322,서울특별시 강동구 상암로14길 77,37.5463638,127.1301872
서울강덕초등학교,134803,서울특별시 강동구 동남로82길 94-54,37.55954748,127.1604836
서울가주초등학교,5823,서울특별시 송파구 오금로40길 37,37.49656722,127.1292804
서울가원초등학교,5834,서울특별시 송파구 중대로4길 8,37.48944215,127.1110274
서울가락초등학교,5698,서울특별시 송파구 송파대로37길 45,37.50002115,127.1076044
서울가동초등학교,5820,서울특별시 송파구 중대로20길 47,37.49741227,127.1300159
우촌초등학교,2831,서울특별시 성북구 성북로4길 52-1,37.59564089,127.0114006
영훈초등학교,1211,서울특별시 강북구 도봉로13가길 19,37.61468187,127.0280933
성신초등학교,2840,서울특별시 성북구 북악산로 918,37.59462313,127.0231285
매원초등학교,2828,서울특별시 성북구 북악산로 870,37.59767468,127.0191869
대광초등학교,2859,서울특별시 성북구 안암로 5,37.57915104,127.0234459
광운초등학교,2763,서울특별시 성북구 한천로 694,37.61906522,127.0550771
서울화계초등학교,1158,서울특별시 강북구 솔매로50가길 25,37.62388498,127.0297162
서울청덕초등학교,2706,서울특별시 성북구 정릉로9라길 11,37.61203289,127.0003334
서울정수초등학교,2813,서울특별시 성북구 정릉로24길 58,37.60377489,127.0077189
서울정릉초등학교,2701,서울특별시 성북구 솔샘로25가길 8,37.61979605,127.0052561
서울정덕초등학교,2826,서울특별시 성북구 아리랑로 63,37.59823995,127.0134213
서울장위초등학교,2769,서울특별시 성북구 장월로8가길 41,37.61144251,127.0500064
서울장월초등학교,2758,서울특별시 성북구 한천로101길 66,37.62194109,127.0471733
서울장곡초등학교,2754,서울특별시 성북구 장월로23길 16,37.61683137,127.0481552
서울일신초등학교,2795,서울특별시 성북구 월곡로 74,37.59881357,127.0401781
서울인수초등학교,1020,서울특별시 강북구 인수봉로 269,37.64305053,127.0091358
서울유현초등학교,1095,서울특별시 강북구 인수봉로37길 24,37.63234717,127.011421
서울월곡초등학교,2747,서울특별시 성북구 장월로3길 42,37.61002442,127.046081
서울우이초등학교,1085,서울특별시 강북구 삼양로99길 36,37.63865468,127.0148082
서울오현초등학교,1230,서울특별시 강북구 월계로 221,37.62341912,127.0465761
서울안암초등학교,2850,서울특별시 성북구 인촌로7가길 39,37.58729826,127.022403
서울숭인초등학교,2741,서울특별시 성북구 오패산로16길 37,37.6091602,127.0382341
서울숭례초등학교,2811,서울특별시 성북구 종암로5길 14,37.59452119,127.0352972
서울숭덕초등학교,2718,서울특별시 성북구 정릉로 279,37.6038198,127.013291
서울숭곡초등학교,2736,서울특별시 성북구 종암로40길 30,37.60843284,127.0328151
서울수유초등학교,1116,서울특별시 강북구 삼양로74길 39,37.63124966,127.0202924
서울수송초등학교,1061,서울특별시 강북구 한천로124길 14,37.63732397,127.0332067
서울송천초등학교,1208,서울특별시 강북구 삼양로20길 29,37.6149052,127.0237354
서울송중초등학교,1165,서울특별시 강북구 오현로 9,37.61746908,127.0319965
서울성북초등학교,2837,서울특별시 성북구 성북로 102-10,37.59405389,126.9987754
서울석관초등학교,2783,서울특별시 성북구 돌곶이로22길 21,37.61102206,127.0583553
서울석계초등학교,2780,서울특별시 성북구 한천로58길 273,37.60881368,127.0697321
서울삼양초등학교,1181,서울특별시 강북구 삼양로49길 17,37.62329558,127.0161491
서울삼선초등학교,2863,서울특별시 성북구 보문로29길 106,37.58714152,127.0126718
서울삼각산초등학교,1198,서울특별시 강북구 삼양로19길 141,37.61614897,127.0145684
서울번동초등학교,1224,서울특별시 강북구 오현로 204,37.62902386,127.0400394
서울미양초등학교,1187,서울특별시 강북구 솔샘로 195,37.62153242,127.0141334
서울미아초등학교,2724,서울특별시 성북구 삼양로 77,37.61058761,127.0216444
서울동신초등학교,2874,서울특별시 성북구 보문사길 50,37.58328787,127.017058
서울돈암초등학교,2830,서울특별시 성북구 동소문로13길 38,37.59374656,127.0131036
서울길음초등학교,2723,서울특별시 성북구 길음로 142,37.61363115,127.01666
서울길원초등학교,2715,서울특별시 성북구 길음로15길 55,37.60906464,127.0167996
서울개운초등학교,2806,서울특별시 성북구 정릉로48길 52,37.60183902,127.0275962
서울자곡초등학교,6373,서울특별시 강남구 자곡로 150,37.47219072,127.0996009
서울율현초등학교,6370,서울특별시 강남구 밤고개로21길 15,37.4745587,127.108265
서울우솔초등학교,6767,서울특별시 서초구 양재대로2길 74,37.45709422,127.0192756
서울세명초등학교,6375,서울특별시 강남구 자곡로 55,37.4688571,127.0910759
서울우면초등학교,6765,서울특별시 서초구 태봉로,37.46536556,127.0260546
서울학동초등학교,6100,서울특별시 강남구 선릉로115길 42,37.51226106,127.0395978
서울포이초등학교,6311,서울특별시 강남구 개포로22길 87,37.47591562,127.0525106
서울청담초등학교,6010,서울특별시 강남구 압구정로71길 9,37.52828187,127.045153
서울잠원초등학교,6547,서울특별시 서초구 신반포로16길 15-25,37.501859,126.9980045
서울일원초등학교,6345,서울특별시 강남구 영동대로4길 20,37.48978808,127.0763255
서울이수초등학교,6692,서울특별시 서초구 방배천로4길 23,37.47837133,126.9844171
서울원촌초등학교,6544,서울특별시 서초구 사평대로45길 26,37.50618948,127.0125656
서울원명초등학교,6602,서울특별시 서초구 고무래로 90-6,37.50077708,127.0167076
서울우암초등학교,6762,서울특별시 서초구 바우뫼로7길 38,37.47229555,127.0237234
서울왕북초등학교,6353,서울특별시 강남구 광평로31길 74,37.48632828,127.0860547
서울영희초등학교,6338,서울특별시 강남구 일원로 21,37.4923004,127.0811328
서울역삼초등학교,6251,서울특별시 강남구 강남대로66길 21,37.49316124,127.0326028
서울언주초등학교,6268,서울특별시 강남구 남부순환로363길 19,37.486322,127.036793
서울언북초등학교,6066,서울특별시 강남구 삼성로135길 42,37.52012517,127.0447158
서울언남초등학교,6800,서울특별시 서초구 헌릉로8길 42,37.45411333,127.0614366
서울양전초등학교,6328,서울특별시 강남구 개포로 513,37.49028284,127.0694253
서울양재초등학교,6755,서울특별시 서초구 바우뫼로18길 14,37.47416538,127.0318925
서울압구정초등학교,6004,서울특별시 강남구 압구정로39길 29,37.53173911,127.0308417
서울신중초등학교,6712,서울특별시 서초구 남부순환로317길 15,37.48015788,127.0093433
서울신동초등학교,6517,서울특별시 서초구 나루터로 15,37.51713004,127.0113904
서울신구초등학교,6029,서울특별시 강남구 압구정로18길 28,37.52336057,127.0239924
서울수서초등학교,6348,서울특별시 강남구 광평로51길 46,37.49115148,127.1015822
서울서초초등학교,6613,서울특별시 서초구 서운로 178,37.49904877,127.0248915
서울서일초등학교,6723,서울특별시 서초구 남부순환로339길 38,37.48529778,127.0221598
서울서이초등학교,6630,서울특별시 서초구 서운로 35,37.49156467,127.025618
서울서원초등학교,6598,서울특별시 서초구 고무래로 63,37.5024389,127.0146195
서울서래초등학교,6574,서울특별시 서초구 방배로 260,37.496404,126.9901565
서울삼릉초등학교,6097,서울특별시 강남구 봉은사로63길 22,37.51325992,127.0469495
서울봉은초등학교,6078,서울특별시 강남구 학동로 610,37.52008269,127.0609329
서울방현초등학교,6700,서울특별시 서초구 효령로4길 58,37.47650298,126.9900734
서울방일초등학교,6663,서울특별시 서초구 방배로18길 52,37.4852056,126.998849
서울방배초등학교,6570,서울특별시 서초구 방배중앙로13길 26,37.4867641,126.987138
서울반포초등학교,6502,서울특별시 서초구 신반포로 55-4,37.50248483,126.9917416
서울반원초등학교,6510,서울특별시 서초구 잠원로3길 28,37.510312,127.0040022
서울매헌초등학교,6780,서울특별시 서초구 언남길 8,37.47126248,127.0420579
서울도성초등학교,6213,서울특별시 강남구 역삼로 313,37.50146201,127.0488722
서울도곡초등학교,6205,서울특별시 강남구 선릉로64길 33,37.49951141,127.0544655
서울대현초등학교,6187,서울특별시 강남구 역삼로98길 16,37.50372159,127.0635654
서울대치초등학교,6291,서울특별시 강남구 양재천로 363,37.49127807,127.0621964
서울대청초등학교,6341,서울특별시 강남구 양재대로55길 28,37.4931481,127.0877673
서울대진초등학교,6334,서울특별시 강남구 개포로109길 74,37.49701211,127.0780803
서울대왕초등학교,6365,서울특별시 강남구 헌릉로618길 8,37.46462117,127.1055912
서울대모초등학교,6363,서울특별시 강남구 광평로20길 27,37.48059845,127.0859938
서울대도초등학교,6277,서울특별시 강남구 선릉로 209,37.4926466,127.0533774
서울대곡초등학교,6288,서울특별시 강남구 남부순환로 3022,37.49471064,127.0650265
서울논현초등학교,6119,서울특별시 강남구 강남대로120길 33,37.50848958,127.0262229
서울구룡초등학교,6305,서울특별시 강남구 개포로 263,37.48119739,127.0517714
서울개포초등학교,6331,서울특별시 강남구 영동대로3길 45,37.48678543,127.070476
서울개일초등학교,6323,서울특별시 강남구 개포로 401,37.48621414,127.0577406
서울개원초등학교,6321,서울특별시 강남구 선릉로 29,37.48161842,127.0587363
계성초등학교,6504,서울특별시 서초구 신반포로19길 23,37.5049159,126.9968257
서울교육대학교부설초등학교,6639,서울특별시 서초구 서초중앙로 96,37.49074049,127.0154245
유석초등학교,7576,서울특별시 강서구 화곡로69길 9,37.56080181,126.8537794
서울신은초등학교,8049,서울특별시 양천구 신정이펜2로 30,37.51391281,126.8321696
서울화일초등학교,7725,서울특별시 강서구 까치산로10길 70,37.54071203,126.8474708
서울화곡초등학교,7722,서울특별시 강서구 초록마을로 28,37.54366962,126.8464717
서울탑산초등학교,7525,서울특별시 강서구 허준로 109,37.56701719,126.8523683
